Département;Nom de Ville;Info;Code Commune;Potentiel Fiscal;Population;Nombre de policiers municipaux;Nombre d'agents de Surveillance de la voix publique;Nombre de gardes-champêtres;Nombre de centres de supervision urbaine (CSU);Personnes pour un policier;Nombre de policiers et de gardes-champêtres;Personnes pour un policier ou un garde-champêtre;KML
01;Civrieux;"";105;617;1362;0;0;1;0;0;1;1362;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.880698523979374,45.89716938200594,0 4.890573647348684,45.90374231219691,0 4.89466119754804,45.90216964501491,0 4.911682518572338,45.90636893650441,0 4.906188393190374,45.91203735197129,0 4.907153116820075,45.91865965579401,0 4.930799116737146,45.9437770850156,0 4.920730764342416,45.94792977796862,0 4.914358125512424,45.94365106363695,0 4.904966466892509,45.94462923563279,0 4.874085739633989,45.93678591574666,0 4.85298918987958,45.93212524387155,0 4.851221116152393,45.92906464754397,0 4.851360607310617,45.92361288604381,0 4.849115607429342,45.91286775063065,0 4.853099916154449,45.90701978558811,0 4.871180459933853,45.90332626073163,0 4.872086594719978,45.89353817233855,0 4.880698523979374,45.89716938200594,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Coligny;"";108;454;1154;1;0;0;0;1154;1;1154;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.330799189416031,46.36925096008129,0 5.336648426810231,46.37456345381829,0 5.365074762134019,46.37307663230266,0 5.377880614188983,46.38232358291976,0 5.367104813673729,46.38869165068083,0 5.348115791726071,46.39941698491801,0 5.334091934648546,46.39972274028495,0 5.309145907832904,46.41025675201921,0 5.300918188416448,46.39518962755452,0 5.297882854574696,46.39267438128478,0 5.29340973916578,46.39373730000266,0 5.295520571803221,46.38417290923644,0 5.309349621000639,46.37103862269196,0 5.316005540380089,46.36902085941828,0 5.330799189416031,46.36925096008129,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Collonges;"";109;663;1897;0;0;1;0;0;1;1897;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.906797623951849,46.12253937646277,0 5.920403014365734,46.13103897437674,0 5.927926494251659,46.12799768043486,0 5.936955605781424,46.12864751901684,0 5.936526848703942,46.13565123024777,0 5.928028105256948,46.14423300544708,0 5.93351396821201,46.14960619601875,0 5.905758994437615,46.15872700224232,0 5.864782596305926,46.15747917044019,0 5.867415392825324,46.14732063060267,0 5.866646988537685,46.13683342823911,0 5.866263737756214,46.13470754221122,0 5.875225383225242,46.13728331122869,0 5.879372849670363,46.13554723717374,0 5.896828604989959,46.11976656199638,0 5.906797623951849,46.12253937646277,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Culoz;"";138;1213;2909;2;0;0;0;1454;2;1454;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.795850499760933,45.82979788310422,0 5.801109494979837,45.84579647760713,0 5.807525042396833,45.86063984674831,0 5.815154073062674,45.87720078323115,0 5.776874099942817,45.88197739070227,0 5.75985500191063,45.88889080426237,0 5.758143586963271,45.88408497343964,0 5.757198975354259,45.88144994940371,0 5.769396694884086,45.86590599562811,0 5.76406967076311,45.83450892664813,0 5.763159151452122,45.82507927215489,0 5.766649143742923,45.8242549446235,0 5.775142433894223,45.82220834912826,0 5.786060322333744,45.82633656473102,0 5.786934216807449,45.82322438679894,0 5.795850499760933,45.82979788310422,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Dagneux;"";142;1112;4099;1;0;0;0;4099;1;4099;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.076522343271357,45.84166702430486,0 5.092116865373044,45.84845059470847,0 5.095395670130825,45.85434417039682,0 5.086906983084223,45.85554622727729,0 5.079783447954171,45.86287501221038,0 5.073695885362874,45.87242730846401,0 5.06194923961957,45.86659787288944,0 5.055424367976382,45.85759166756948,0 5.061033613899686,45.8521027081638,0 5.062025569380681,45.83863568161392,0 5.063272995022623,45.83649602324424,0 5.074286414221967,45.83533042804716,0 5.076522343271357,45.84166702430486,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Divonne-les-Bains;"";143;1569;8160;8;0;0;0;1020;8;1020;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							6.140283420865673,46.33989623483969,0 6.149210386782591,46.3430743810775,0 6.157551724528831,46.35186447474133,0 6.166735914680501,46.36414526366276,0 6.168451151552277,46.36745905491636,0 6.166675760177402,46.37074366236503,0 6.160983978400068,46.37655206225389,0 6.147123634681315,46.37982824517081,0 6.120401058050415,46.39595456909016,0 6.106503143522,46.39983942468022,0 6.097525559908008,46.40828407026162,0 6.064008481818286,46.41622698893153,0 6.060575448711174,46.41750861943462,0 6.052807407730594,46.41140874622492,0 6.057693902442098,46.41189067746991,0 6.061165247135993,46.40223650611113,0 6.077571289478407,46.39472108974933,0 6.077944159599906,46.38793438559711,0 6.08401950415554,46.37537039845328,0 6.105992429389415,46.35720126478985,0 6.11114171405156,46.34774275123551,0 6.137695387166806,46.33311854041087,0 6.140283420865673,46.33989623483969,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Dompierre-sur-Veyle;"";145;633;1226;0;0;1;0;0;1;1226;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.245147395943439,46.04186334953749,0 5.254463335295458,46.04853398899014,0 5.256607099044297,46.05159029335788,0 5.248069029743809,46.06332689752286,0 5.241217115565808,46.07523667334285,0 5.24203758833969,46.08836390479911,0 5.235487279036724,46.10047447042376,0 5.194266852544476,46.09136978455269,0 5.186479979317253,46.08733122639516,0 5.182913850369992,46.08099496641826,0 5.178199641935493,46.08126574921636,0 5.176519238616839,46.06401102684793,0 5.187967513677822,46.05284556491311,0 5.201959703401049,46.05040366259288,0 5.210403444337497,46.03580783311882,0 5.224504449775962,46.03458607612345,0 5.245147395943439,46.04186334953749,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Dortan;"";148;876;1996;1;0;0;0;1996;1;1996;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.673091240553827,46.30540158468135,0 5.684582306162635,46.31093371422548,0 5.683316430330279,46.31587395840367,0 5.668481300065804,46.3238988505577,0 5.645284642357655,46.32479116939108,0 5.649797748006011,46.33419162754042,0 5.646091529087767,46.34280999866186,0 5.637458308552867,46.33644201147634,0 5.631575308116785,46.3306946683259,0 5.612518353306872,46.32655628115871,0 5.605673342436597,46.31364004477167,0 5.604641103134043,46.3094381310011,0 5.608103863382383,46.30734974230988,0 5.604317264555569,46.30154407787492,0 5.612519030714762,46.29907677959604,0 5.631979669622944,46.29586268086575,0 5.641573313671122,46.29803714410514,0 5.659297877505884,46.29176820638129,0 5.673091240553827,46.30540158468135,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Druillat;"";151;602;1134;0;0;1;0;0;1;1134;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.275477606061205,46.06017673968695,0 5.284486896661393,46.06241892799618,0 5.287023805473976,46.05589955584709,0 5.297493036704992,46.04880524076534,0 5.312041645142802,46.04833830836252,0 5.319588046138337,46.04413019769431,0 5.326707549717935,46.05278591351744,0 5.327175443434706,46.06261394248889,0 5.340892355226443,46.07534941958172,0 5.336730269504013,46.07579559521324,0 5.338545073157448,46.08437065452446,0 5.335471533711216,46.08637988036704,0 5.310446849110928,46.07534305711704,0 5.291924983539853,46.08096188827363,0 5.287648548086699,46.09453419994865,0 5.264067445576117,46.08350319583006,0 5.252540753411123,46.06476061124688,0 5.248069029743809,46.06332689752286,0 5.256607099044297,46.05159029335788,0 5.254463335295458,46.04853398899014,0 5.258657738763048,46.04355883503005,0 5.275477606061205,46.06017673968695,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Feillens;"";159;777;3115;1;0;0;0;3115;1;3115;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.920735882886924,46.33015483339602,0 4.912872857846327,46.34513120014073,0 4.88570326377864,46.3511863819483,0 4.872055625872731,46.36022936105007,0 4.866470285238096,46.35439417850008,0 4.86599841786528,46.34743032064267,0 4.852652406891123,46.34279311333221,0 4.851423109810393,46.326077726513,0 4.883908021027143,46.32362677920577,0 4.905489986998495,46.31802565682055,0 4.920735882886924,46.33015483339602,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Ferney-Voltaire;"";160;1083;8025;4;1;0;0;2006;4;2006;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							6.1027190844659,46.26173039577652,0 6.09568918007545,46.25045896673053,0 6.088144013040409,46.24704133330368,0 6.103463866437395,46.23865801632343,0 6.115883485819276,46.24442846893692,0 6.122535343792435,46.25333901272975,0 6.120107643597961,46.26362502488625,0 6.116039387207435,46.26565601583159,0 6.1027190844659,46.26173039577652,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Genouilleux;"";169;482;609;0;0;1;0;0;1;609;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.811722158848304,46.12137005366019,0 4.787486110127217,46.13088750158244,0 4.772068888826491,46.11762742590112,0 4.79600918239341,46.11183787237165,0 4.805930292729994,46.11225693103889,0 4.811722158848304,46.12137005366019,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Gex;"";173;667;10372;5;0;0;0;2074;5;2074;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							6.062528159270744,46.31970901528489,0 6.062038308677016,46.32931041956716,0 6.071543441483658,46.32854089983866,0 6.076132245243753,46.32270376164267,0 6.085278219667041,46.32066310971491,0 6.097162145110313,46.32609906120929,0 6.090939942815989,46.33476601128135,0 6.081376428146164,46.33659305885259,0 6.076579827245374,46.34267930409485,0 6.077731274014906,46.35642685963712,0 6.05986765624202,46.38442872275441,0 6.050275188749015,46.38544264167376,0 6.039807510371284,46.37799039625811,0 6.021896492013101,46.37148271339017,0 6.019207026161677,46.36851716629948,0 6.023915324370948,46.36232779230339,0 6.007945176802769,46.34886398361049,0 6.001406450356757,46.3357177889398,0 6.0003506468676,46.32880695455556,0 6.004097371367374,46.32644640195178,0 6.018885445995661,46.32783072331627,0 6.055217471956023,46.3154987199257,0 6.062528159270744,46.31970901528489,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Gorrevod;"";175;613;799;0;0;1;0;0;1;799;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.945711369514996,46.40571768474076,0 4.959387789531799,46.40656458340193,0 4.961574021591986,46.40942741282701,0 4.97437961618258,46.40596392569635,0 4.975080521989974,46.42426391508025,0 4.960398363725567,46.42492231135682,0 4.948703883351766,46.42170873969937,0 4.936337946162976,46.43073731657865,0 4.926570053643387,46.4116089343177,0 4.925527935323588,46.40864510264186,0 4.929978991581079,46.40857892854201,0 4.934335237365057,46.40326291261432,0 4.943205611134527,46.40299511851434,0 4.945711369514996,46.40571768474076,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Groissiat;"";181;1460;1143;0;1;1;0;0;1;1143;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.645385000244696,46.21986936540782,0 5.613412106563556,46.23695233335184,0 5.613541107877187,46.24047217767909,0 5.599468194242845,46.23943415747446,0 5.590318806408563,46.21345177335728,0 5.594836420604894,46.21210542950463,0 5.608075465823839,46.2154064172007,0 5.618172400442916,46.22245427424087,0 5.628009931738451,46.22268686282838,0 5.640564780831721,46.21735051799465,0 5.645385000244696,46.21986936540782,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
