DEP;genre;nb_sansdip;Date
95             ;femme;82799,1;2011
01             ;homme;34147,4;2012
01             ;femme;35896,2;2012
02             ;homme;41879,9;2012
02             ;femme;48277,4;2012
03             ;homme;19898,7;2012
03             ;femme;23359,2;2012
04             ;homme;9331,9;2012
04             ;femme;10838,7;2012
05             ;homme;6708,5;2012
05             ;femme;6992,2;2012
06             ;homme;64520,1;2012
06             ;femme;72687,9;2012
07             ;homme;19730,5;2012
07             ;femme;21219,8;2012
08             ;homme;20222,9;2012
08             ;femme;24728,5;2012
09             ;homme;9558;2012
09             ;femme;11166,1;2012
10             ;homme;21496,5;2012
10             ;femme;25109,5;2012
11             ;homme;24494,5;2012
11             ;femme;29338,8;2012
12             ;homme;14285,1;2012
12             ;femme;15736,3;2012
13             ;homme;134073,7;2012
13             ;femme;153652,7;2012
14             ;homme;41115,9;2012
14             ;femme;46159,2;2012
15             ;homme;9274,6;2012
15             ;femme;9721,8;2012
16             ;homme;22165,4;2012
16             ;femme;27314;2012
17             ;homme;37100,1;2012
17             ;femme;44327;2012
18             ;homme;18744,5;2012
18             ;femme;21787,6;2012
19             ;homme;12154,2;2012
19             ;femme;14037,6;2012
21             ;homme;28003,1;2012
21             ;femme;33039,6;2012
22             ;homme;26233,1;2012
22             ;femme;33483,5;2012
23             ;homme;7130,8;2012
23             ;femme;8076,8;2012
24             ;homme;25286,6;2012
24             ;femme;29156,3;2012
25             ;homme;29855,3;2012
25             ;femme;34220,6;2012
26             ;homme;30746,6;2012
26             ;femme;33005,7;2012
27             ;homme;41375,5;2012
27             ;femme;45289,8;2012
28             ;homme;27700,3;2012
28             ;femme;30123,9;2012
29             ;homme;27896,5;2012
29             ;femme;39067,1;2012
30             ;homme;47858,1;2012
30             ;femme;54114,1;2012
31             ;homme;52159,8;2012
31             ;femme;60504,2;2012
32             ;homme;11385,3;2012
32             ;femme;12621,4;2012
33             ;homme;73124,8;2012
33             ;femme;85890,2;2012
34             ;homme;62303,4;2012
34             ;femme;69663,2;2012
35             ;homme;44637,5;2012
35             ;femme;52003,4;2012
36             ;homme;15857,2;2012
36             ;femme;18259,1;2012
37             ;homme;30253,2;2012
37             ;femme;36182,1;2012
38             ;homme;68916,8;2012
38             ;femme;73667,5;2012
39             ;homme;15759,8;2012
39             ;femme;17398,2;2012
40             ;homme;21110,3;2012
40             ;femme;25422,7;2012
41             ;homme;21338;2012
41             ;femme;24402,2;2012
42             ;homme;49674,8;2012
42             ;femme;57591,7;2012
43             ;homme;12208,9;2012
43             ;femme;13539;2012
44             ;homme;50253,2;2012
44             ;femme;62307;2012
45             ;homme;39945,3;2012
45             ;femme;44107;2012
46             ;homme;9100,9;2012
46             ;femme;10506,6;2012
47             ;homme;23808,5;2012
47             ;femme;27920,1;2012
48             ;homme;4845,3;2012
48             ;femme;4497,6;2012
49             ;homme;47351,4;2012
49             ;femme;57212,6;2012
50             ;homme;35024,1;2012
50             ;femme;42147,5;2012
51             ;homme;36198,6;2012
51             ;femme;41855,4;2012
52             ;homme;12933;2012
52             ;femme;15688;2012
53             ;homme;21172,9;2012
53             ;femme;24090;2012
54             ;homme;41633,3;2012
54             ;femme;50515,4;2012
55             ;homme;12612,1;2012
55             ;femme;14643,6;2012
56             ;homme;31560,2;2012
56             ;femme;40715,3;2012
57             ;homme;69775,1;2012
57             ;femme;92900,1;2012
58             ;homme;13785;2012
58             ;femme;16742,4;2012
59             ;homme;153594,8;2012
59             ;femme;196833,2;2012
60             ;homme;56483,6;2012
60             ;femme;60737;2012
61             ;homme;21985,7;2012
61             ;femme;24781,2;2012
62             ;homme;87292,7;2012
62             ;femme;118488,3;2012
63             ;homme;30427,1;2012
63             ;femme;34705,3;2012
64             ;homme;27820,5;2012
64             ;femme;36237,1;2012
65             ;homme;10440;2012
65             ;femme;13042,5;2012
66             ;homme;29297;2012
66             ;femme;36945,5;2012
67             ;homme;61602,2;2012
67             ;femme;79546,6;2012
68             ;homme;49749,8;2012
68             ;femme;63942,1;2012
69             ;homme;96556,1;2012
69             ;femme;107242,1;2012
70             ;homme;15719,5;2012
70             ;femme;17112,3;2012
71             ;homme;34940;2012
71             ;femme;41667,3;2012
72             ;homme;35182,5;2012
72             ;femme;40470,5;2012
73             ;homme;19571,2;2012
73             ;femme;21212,6;2012
74             ;homme;37882,2;2012
74             ;femme;41908,4;2012
75             ;homme;94405,5;2012
75             ;femme;105055,7;2012
76             ;homme;85855;2012
76             ;femme;103251,6;2012
