REG;DEP;P10_FNSCOL15P_DIPL0
82;01; 32,164103
82;01; 9,444444
82;01; 140,731982
82;01; 369,148159
82;01; 267,142273
82;01; 198,229019
82;01; 87,0
82;01; 8,285714
82;01; 113,193321
82;01; 32,178082
82;01; 18,489426
82;01; 60,439663
82;01; 10,371429
82;01; 15,536977
82;01; 4,075
82;01; 406,381655
82;01; 23,341889
82;01; 22,0
82;01; 33,0
82;01; 0,0
82;01; 46,859603
82;01; 79,00151
82;01; 4,0
82;01; 102,901608
82;01; 149,613413
82;01; 43,234061
82;01; 78,287025
82;01; 36,0
82;01; 61,814904
82;01; 60,068743
82;01; 372,085166
82;01; 136,470396
82;01; 140,458476
82;01; 336,57069
82;01; 337,767458
82;01; 276,321086
82;01; 171,097141
82;01; 197,826007
82;01; 323,111115
82;01; 242,382545
82;01; 10,0
82;01; 18,53044
82;01; 10,118401
82;01; 18,252801
82;01; 24,234463
82;01; 19,0
82;01; 42,588235
82;01; 9,919028
82;01; 194,870318
82;01; 27,008929
82;01; 5,130435
82;01; 58,531212
82;01; 25,0
82;01; 131,0
82;01; 13,0
82;01; 7,230769
82;01; 5,980645
82;01; 182,636873
82;01; 149,842431
82;01; 159,519297
82;01; 100,709454
82;01; 164,908126
82;01; 78,382359
82;01; 84,34433
82;01; 228,092977
82;01; 306,131277
82;01; 131,861835
82;01; 197,784222
82;01; 172,891491
82;01; 376,216539
82;01; 346,885211
82;01; 185,901738
82;01; 227,57028
82;01; 131,738596
82;01; 146,110216
82;01; 53,561644
82;01; 14,346369
82;01; 27,0
82;01; 40,0
82;01; 3,0
82;01; 20,036832
82;01; 44,0
82;01; 23,731824
82;01; 29,712644
82;01; 60,0
82;01; 39,63875
82;01; 3,085714
82;01; 9,999988
82;01; 18,0
82;01; 34,87931
82;01; 117,682174
82;01; 141,678081
82;01; 48,896853
82;01; 136,305831
82;01; 45,0
82;01; 9,071429
82;01; 4,091429
82;01; 44,0
82;01; 101,969306
82;01; 23,896996
82;01; 40,059456
82;01; 19,997741
82;01; 43,530864
82;01; 34,0
82;01; 9,551821
82;01; 10,388693
82;01; 26,970395
82;01; 103,277454
82;01; 7,289941
82;01; 203,711411
82;01; 49,507452
82;01; 346,141433
82;01; 63,208396
82;01; 17,159875
82;01; 65,411246
82;01; 9,521531
82;01; 42,672417
82;01; 58,0
82;01; 14,089744
82;01; 5,0
82;01; 56,772675
82;01; 31,458505
82;01; 20,298441
82;01; 55,903657
82;01; 5,08982
82;01; 4,927007
82;01; 52,480215
82;01; 95,839649
82;01; 11,096491
82;01; 1,009709
82;01; 21,0
82;01; 44,940555
82;01; 19,251798
82;01; 36,638333
82;01; 20,339623
82;01; 2,109375
82;01; 78,702959
82;01; 12,355932
82;01; 6,252101
82;01; 30,068321
82;01; 58,666615
82;01; 44,0
82;01; 24,824742
82;01; 18,62449
82;01; 17,0
82;01; 17,0
82;01; 50,931905
82;01; 22,0
82;01; 74,000911
82;01; 83,294451
82;01; 34,506203
82;01; 244,0
82;01; 26,291583
82;01; 23,129274
82;01; 14,890244
82;01; 207,742768
82;01; 173,319734
82;01; 49,249323
82;01; 102,762767
82;01; 37,613532
82;01; 71,63606
82;01; 24,0
82;01; 29,498925
82;01; 190,958846
82;01; 31,0
82;01; 1,019512
82;01; 53,0
82;01; 26,067532
82;01; 54,085887
82;01; 39,843511
82;01; 8,0
82;01; 21,051005
82;01; 99,367515
82;01; 41,0
82;01; 208,190082
82;01; 110,767156
82;01; 112,807766
82;01; 231,994893
82;01; 3,15
82;01; 113,0
82;01; 43,0
82;01; 85,381138
82;01; 29,725
82;01; 38,783133
82;01; 69,273128
82;01; 57,935841
82;01; 7,945205
82;01; 186,482956
82;01; 137,691285
82;01; 104,301625
82;01; 11,0
82;01; 42,96799
82;01; 6,169811
82;01; 4,075949
82;01; 110,0
82;01; 24,0
82;01; 52,36652
82;01; 25,286533
82;01; 75,103731
82;01; 29,0
82;01; 289,731438
82;01; 4,1
82;01; 12,199336
82;01; 29,0
82;01; 48,136882
82;01; 9,74359
82;01; 6,792899
82;01; 150,974441
82;01; 12,935644
82;01; 318,0
82;01; 143,0
82;01; 55,869923
82;01; 52,644981
82;01; 5,70088
82;01; 9,570815
82;01; 143,850754
82;01; 11,0
82;01; 211,082255
82;01; 298,705683
82;01; 59,070339
82;01; 2,891129
82;01; 61,580488
82;01; 11,726236
82;01; 10,814815
82;01; 11,0
82;01; 31,192817
82;01; 9,999793
82;01; 39,860979
82;01; 37,0
82;01; 66,680952
82;01; 6,0
82;01; 3,051724
82;01; 44,042251
82;01; 4,739583
82;01; 7,047297
82;01; 2,067797
82;01; 172,579121
82;01; 14,035714
82;01; 17,0
82;01; 47,501426
82;01; 48,243243
82;01; 25,263158
82;01; 90,505285
82;01; 135,958371
82;01; 3,658915
82;01; 2,940397
82;01; 38,0
82;01; 45,913706
82;01; 117,390536
82;01; 86,0
82;01; 17,5104
82;01; 13,0
82;01; 72,903882
82;01; 3,066176
82;01; 56,703518
82;01; 211,0
82;01; 144,0
82;01; 134,0
82;01; 33,833129
82;01; 104,094828
82;01; 10,0
82;01; 60,0
82;01; 147,0
82;01; 417,0
82;01; 98,0
82;01; 59,180255
82;01; 38,476323
82;01; 45,615217
82;01; 31,0
82;01; 8,945783
82;01; 41,228995
82;01; 22,0
82;01; 7,0
82;01; 22,147899
82;01; 153,817053
82;01; 520,521296
82;01; 165,0
82;01; 39,407524
82;01; 420,256054
82;01; 158,785905
82;01; 60,804598
82;01; 17,360169
82;01; 389,832501
82;01; 21,187835
82;01; 83,273949
82;01; 69,137386
82;01; 60,76
82;01; 75,955307
82;01; 76,40224
82;01; 5,143885
82;01; 3,956522
82;01; 5,529412
82;01; 139,03307
82;01; 18,0
82;01; 450,397431
82;01; 585,097147
82;01; 416,462184
82;01; 294,275282
82;01; 213,873408
82;01; 407,826204
82;01; 320,142256
82;01; 0,0
82;01; 236,959829
82;01; 269,361548
82;01; 78,09953
82;01; 17,920968
82;01; 46,0
82;01; 33,164977
82;01; 6,0
82;01; 64,651287
82;01; 137,865309
82;01; 164,716872
82;01; 41,034081
82;01; 46,754717
82;01; 8,179255
82;01; 3,931034
82;01; 41,863666
82;01; 14,635675
82;01; 18,24
82;01; 23,089147
82;01; 5,16
82;01; 13,300304
82;01; 18,910129
82;01; 100,18767
82;01; 6,0
82;01; 82,828246
82;01; 155,0
82;01; 295,639654
82;01; 98,699747
82;01; 69,441469
82;01; 34,914213
82;01; 4,782609
82;01; 12,022986
82;01; 1,058824
82;01; 4,0
82;01; 208,0
82;01; 73,771016
82;01; 6,0
82;01; 14,0
82;01; 21,897516
82;01; 19,0
82;01; 218,0
82;01; 19,99403
82;01; 169,373145
82;01; 76,308305
82;01; 28,908709
82;01; 14,847216
82;01; 10,853333
82;01; 8,0
82;01; 8,0
82;01; 30,380056
82;01; 143,670588
82;01; 19,134332
82;01; 6,116129
82;01; 39,0
82;01; 72,019849
82;01; 42,941906
82;01; 51,811537
82;01; 12,3
82;01; 5,036232
82;01; 14,0
82;01; 74,537383
82;01; 226,663279
82;01; 152,0
82;01; 46,0
82;01; 62,0
82;01; 239,362193
82;01; 8,161364
82;01; 115,724387
82;01; 80,789262
82;01; 30,892511
82;01; 49,984776
82;01; 143,522826
82;01; 122,014069
82;01; 177,851044
82;01; 26,469799
82;01; 12,061224
82;01; 63,0
82;01; 22,420655
82;01; 11,141631
82;01; 50,80204
82;01; 66,093023
82;01; 17,820343
82;01; 84,419738
82;01; 50,09866
82;01; 58,732255
82;01; 30,458244
82;01; 37,686883
82;01; 35,846883
82;01; 41,749816
82;01; 214,111488
82;01; 54,676692
82;01; 20,335051
82;01; 78,0
82;01; 63,297125
82;01; 30,462725
82;01; 399,188254
82;01; 92,516479
82;01; 41,0
82;01; 47,0
82;01; 44,544432
82;01; 12,160535
82;01; 112,360635
82;01; 213,350068
82;01; 22,121019
82;01; 53,0
82;01; 9,0
82;01; 128,571706
82;01; 155,708135
82;01; 68,657908
82;01; 13,75696
82;01; 26,20438
82;01; 20,115163
82;01; 113,325962
82;01; 43,796515
82;01; 63,840949
82;01; 65,510783
82;01; 3,914894
82;01; 55,0
82;01; 55,414157
82;01; 73,0
82;01; 6,664
82;01; 50,826604
82;01; 16,410256
82;01; 92,411392
82;01; 18,82622
82;01; 1,0
82;01; 7,781155
82;01; 20,840304
82;01; 30,701439
82;01; 4,216216
82;01; 14,120172
82;01; 46,0
82;01; 119,439614
82;01; 8,28115
82;01; 31,149009
82;01; 205,439608
82;01; 115,0
82;01; 36,103448
82;01; 38,492795
82;01; 26,051443
82;01; 44,0
82;01; 9,966887
82;01; 73,0
82;01; 211,375918
82;01; 342,259836
82;01; 6,0
82;01; 22,696667
82;01; 26,0
82;01; 47,179372
82;01; 11,0
82;01; 42,0
82;01; 12,036254
82;01; 88,264241
82;01; 14,914934
82;01; 16,723618
82;01; 4,59596
82;01; 28,409956
82;01; 15,0
82;01; 403,152862
82;01; 65,657044
82;01; 18,085851
82;01; 56,219512
82;01; 127,148483
82;01; 10,66482
82;01; 16,874631
82;01; 115,104825
82;01; 50,376444
82;01; 214,789806
82;01; 124,115076
82;01; 45,207641
82;01; 62,973878
82;01; 4,054795
82;01; 196,242128
22;02; 51,0
