['Region','Ratio_Crime_Policier'],
['Pro',2.9407800694302635],
['Ile',6.992590822179732],
['Rhô',6.727134724857685],
['Lan',3.548354935194417],
['Nor',7.845673505798394],
['Aqu',6.962962962962963],
['Mid',17.00748502994012],
['Cen',6.664110429447852],
['Pic',5.903225806451613],
['Lor',5.509677419354839],
['Pay',11.993431855500821],
['Bre',7.9],
['Als',5.143626570915619],
['Hau',6.6268939393939394],
['Bou',5.977220956719818],
['Poi',7.548469387755102],
['Bas',5.654088050314465],
['Auv',9.472222222222221],
['Cha',12.435483870967742],
['Fra',8.359116022099448],
['Lim',7.626168224299065],
